Cod85,Cod23,Nom23,Nom23_corto,Nom23_siglas,Ciclo23,Electividad23,Area23,Correlatividad23
0743,17001,EPISTEMOLOGÍA DE LAS CIENCIAS SOCIALES,Epistemo,EPIS,Ciclo de Formación General (CFG) Licenciatura Arqueología,,,
0733,17002,HISTORIA Y TEORÍA DE LA ANTROPOLOGÍA I,Historia y Teoría 1,HTA1,Ciclo de Formación General (CFG) Licenciatura Arqueología,,,
0742,17003,HISTORIA Y TEORÍA DE LA ANTROPOLOGÍA II,Historia y Teoría 2,HTA2,Ciclo de Formación General (CFG) Licenciatura Arqueología,,,
0730,17004,PROBLEMAS DE ANTROPOLOGÍA SOCIAL Y POLÍTICA,P. A. Soc. y Pol.,PASYP,Ciclo de Formación General (CFG) Licenciatura Arqueología,,,
0736,17005,PROBLEMAS DE ANTROPOLOGÍA ECONÓMICA,P. A. Económica,PAE,Ciclo de Formación General (CFG) Licenciatura Arqueología,,,
0739,17006,PROBLEMAS DE ANTROPOLOGÍA SIMBÓLICA,P. Antrop. Simbólica,PASIM,Ciclo de Formación General (CFG) Licenciatura Arqueología,,,
0738,17007,ANTROPOLOGÍA BIOLÓGICA,Antrop. Biológica,ABIO,Ciclo de Formación General (CFG) Licenciatura Arqueología,,,
0732,17008,INTRODUCCIÓN A LA ARQUEOLOGÍA,Intro. Arqueo.,IARQ,Ciclo de Formación General (CFG) Licenciatura Arqueología,,,
,17009,"ARQUEOLOGÍA, LEGISLACIÓN Y COMUNIDAD",Arqueo. Leg. y Com.,ALC,Ciclo de Formación General (CFG) Licenciatura Arqueología,,,
SEM85,PST23,1 Seminario de Prácticas Socioeducativas Territorializadas (PST),,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Variable,,
0750,17034,"ARQUEOLOGÍA DE ÁFRICA, EURASIA Y OCEANÍA",Arqueo. de Af. Eura. y Oc.,ARQAEO,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología
0751,17035,ARQUEOLOGÍA AMERICANA Y ARGENTINA I,Arqueo. Am y Arg. I,ARQAM1,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología
0712,17036,ARQUEOLOGÍA AMERICANA Y ARGENTINA II,Arqueo. Am y Arg. II,ARQAM2,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología
0754,17037,ARQUEOLOGÍA ARGENTINA,Arqueo. Argentina,ARQARG,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología
0722,17038,MATERIALES ARQUEOLÓGICOS Y SUS TECNOLOGÍAS,Mat. Arqueo. y sus Tec.,MAT,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología
0752,17039,GEOLOGÍA PARA ARQUEÓLOGOS,Geo. para Arqueo.,GPA,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología
0748,17040,TEORÍAS ARQUEOLÓGICAS CONTEMPORÁNEAS,T. Arqueo. Contemp.,TARQC,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología
0753,17041,MODELOS Y MÉTODOS DE ANÁLISIS EN ARQUEOLOGÍA,Mod. y Met. Arqueo.,MYM,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología
0721,17042,METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN ARQUEOLÓGICA,Met. Arqueo.,MTARQ,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología
0737,17043,MÉTODOS CUANTITATIVOS EN ARQUEOLOGÍA,Met. Cuanti. Arqueo.,MCARQ,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología y Metodología y Técnicas de Inv. Arqueológica
SEMARQ,SEMARQ,1 Seminario Regular de la orientación en Arqueología,,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Variable,,Al menos 5 materias cursadas del CFG incluyendo Introducción a la Arqueología y Metodología y Técnicas de Inv. Arqueológica
,17044,EJERCICIO PROFESIONAL DE LA ARQUEOLOGÍA,Ej. Profesional Arqueo.,EPARQ,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,"Elección A, 2 materias",,"Al menos 10 materias cursadas en total, incluyendo Métodos cuantitativos en Arqueología y Materiales Arqueológicos y sus Tecnologías"
,17045,MATERIALES BIOLÓGICOS EN ARQUEOLOGÍA,Mat. Bio. en Arqueo.,MBA,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,"Elección A, 2 materias",,"Al menos 10 materias cursadas en total, incluyendo Métodos cuantitativos en Arqueología y Materiales Arqueológicos y sus Tecnologías"
,17046,ARQUEOLOGÍA DE TIEMPOS MODERNOS,Arq. de T. Modernos,ATM,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,"Elección A, 2 materias",,"Al menos 10 materias cursadas en total, incluyendo Métodos cuantitativos en Arqueología y Materiales Arqueológicos y sus Tecnologías"
,17047,ESTUDIOS INTERDISCIPLINARIOS EN ARQUEOLOGÍA,Est. Interdisciplinarios Arq.,EIARQ,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,"Elección A, 2 materias",,"Al menos 10 materias cursadas en total, incluyendo Métodos cuantitativos en Arqueología y Materiales Arqueológicos y sus Tecnologías"
0755,17048,"SEMINARIO DE INVESTIGACIÓN EN ARQUEOLOGÍA, TRABAJO DE CAMPO Y LABORATORIO",Sem. Inv. Arqueo.,SIARQ,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,"Al menos 10 materias aprobadas en total, incluyendo Metodología y Técnicas de Inv. Arqueológica, Teorías Arqueológicas Contemporáneas y Arqueología Argentina"
