Cod23,Nom23,Nom23_corto,Nom23_siglas,Lic23SOC,Lic23ARQ,Prof23,Cod85,Nom85,Nom85_siglas,Lic85SOC,Lic85ARQ,Prof85
17001,EPISTEMOLOGÍA DE LAS CIENCIAS SOCIALES,Epistemo,EPISTE,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,0743,EPISTEMOLOGÍA Y MÉTODOS DE INVESTIGACIÓN SOCIAL,EPISTE,Ciclo Orientación Sociocultural,,Ciclo Orientación Sociocultural
17002,HISTORIA Y TEORÍA DE LA ANTROPOLOGÍA I,Historia y Teoría 1,HTA1,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,0733,HISTORIA DE LA TEORÍA ANTROPOLÓGICA,HTA,Ciclo Común,Ciclo Común,Ciclo Común
17003,HISTORIA Y TEORÍA DE LA ANTROPOLOGÍA II,Historia y Teoría 2,HTA2,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,0742,TEORÍAS ANTROPOLÓGICAS CONTEMPORÁNEAS,TAC,Ciclo Orientación Sociocultural,,Ciclo Orientación Sociocultural
17004,PROBLEMAS DE ANTROPOLOGÍA SOCIAL Y POLÍTICA,P. A. Soc. y Pol.,PASYP,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,0730,ANTROPOLOGÍA SISTEMÁTICA I (ORGANIZACIÓN SOCIAL Y POLÍTICA),SISTE1,Ciclo Común,Ciclo Común,Ciclo Común
17005,PROBLEMAS DE ANTROPOLOGÍA ECONÓMICA,P. A. Económica,PAE,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,0736,ANTROPOLOGÍA SISTEMÁTICA II (ANTROPOLOGÍA ECONÓMICA),SISTE2,Ciclo Común,Ciclo Común,Ciclo Común
17006,PROBLEMAS DE ANTROPOLOGÍA SIMBÓLICA,P. Antrop. Simbólica,PASIM,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,0739,ANTROPOLOGÍA SISTEMÁTICA III (SISTEMAS SIMBÓLICOS),SISTE3,Ciclo Común,Ciclo Común,Ciclo Común
17007,ANTROPOLOGÍA BIOLÓGICA,Antrop. Biológica,ABIO,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,0738,ANTROPOLOGÍA BIOLÓGICA Y PALEOANTROPOLOGÍA,BIO,Ciclo Común,Ciclo Común,Ciclo Común
17008,INTRODUCCIÓN A LA ARQUEOLOGÍA,Intro. Arqueo.,IARQ,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,0732,FUNDAMENTOS DE PREHISTORIA,FUND,Ciclo Común,Ciclo Común,Ciclo Común
17009,"ARQUEOLOGÍA, LEGISLACIÓN Y COMUNIDAD",Arqueo. Leg. y Com.,ALC,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,,,,,,
17010,"SOCIEDADES, CULTURAS Y ESTADOS EN AMÉRICA PREHISPÁNICA Y COLONIAL",S. C. y E. en Am. Prehisp.,SCEAP,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Electiva Sociocultural,0741,SISTEMAS SOCIOCULTURALES DE AMÉRICA II (AGRICULTORES MEDIOS Y SOCIEDADES ESTATALES),SOCIO1,Ciclo Orientación Sociocultural,,Ciclo Orientación Sociocultural
17011,PUEBLOS INDÍGENAS AMERICANOS,P. Ind. Americanos,PIA,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Electiva Sociocultural,0735,"SISTEMAS SOCIOCULTURALES DE AMÉRICA I (CAZADORES, RECOLECTORES, AGRICULTORES INCIPIENTES)",SOCIO2,Ciclo Común,Ciclo Común,Ciclo Común
17012,"PROCESOS CULTURALES, FOLKLORE Y PRÁCTICAS SUBALTERNAS",Proc. Cult. Folkore y P. Sub.,PCFPS,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Electiva Sociocultural,0740,FOLKLORE GENERAL,FOLK,Ciclo Común,Ciclo Común,Ciclo Común
17013,ANTROPOLOGÍA LINGÜÍSTICA,Antrop. Lingüística,ALING,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Electiva Sociocultural,0734,ELEMENTOS DE LINGÜÍSTICA Y SEMIÓTICA,ELING,Ciclo Común,Ciclo Común,Ciclo Común
17014,TEORÍA SOCIAL,Teoría Social,TSOC,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Electiva Sociocultural,0745,TEORÍA SOCIOLÓGICA,TSOC,Ciclo Orientación Sociocultural,,Ciclo Orientación Sociocultural
17015,TEORÍAS DE LA SUBJETIVIDAD,T. de la Subjetividad,TSUBJ,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Electiva Sociocultural,0757,PSICOLOGÍA GENERAL,PSIGEN,Ciclo Orientación Sociocultural,,Ciclo Orientación Sociocultural
17016,METODOLOGÍA E INVESTIGACIÓN ANTROPOLÓGICA,Met. e Inv. Antrop.,MIA,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,0744,METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN DE CAMPO,METINV,Ciclo Orientación Sociocultural,,Ciclo Orientación Sociocultural
17017,ENFOQUE CUANTITATIVO DE INVESTIGACIÓN EN ANTROPOLOGÍA SOCIOCULTURAL,Enf. Cuantitativo,CUANT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,0737,MÉTODOS CUANTITATIVOS EN ANTROPOLOGÍA,CUANT,Ciclo Común,,Ciclo Común
17018,EJERCICIO PROFESIONAL DE LA ANTROPOLOGÍA SOCIOCULTURAL,Ej. Profesional Socio.,EPAS,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,, O7027,Ejercicio Profesional,EPROF,Optativa,Optativa,Optativa
17019,"CONQUISTAS, RESISTENCIAS Y MEMORIAS INDÍGENAS",Conq. Res. y Mem. Ind.,CRMI,Antropología histórica y memoria,,,,,,,,
17020,PUEBLOS INDÍGENAS Y ESTADOS,P. Ind. y Estados,PIE,Antropología histórica y memoria,,,,,,,,
17021,ANTROPOLOGÍAS LATINOAMERICANAS,A. Latinoamericanas,ALAT,Antropología histórica y memoria,,,,,,,,
17022,AMÉRICA EN CONTEXTO,Am. en Contexto,AEC,Antropología histórica y memoria,,Ciclo de Formación General (CFG) Profesorado,,,,,,
17023,"CAPITALISMO ACTUAL, TRABAJO Y TRABAJADORES",Cap. Trab. y Trabajadores,CATT,"Procesos culturales, ideología y poder",,,O7031,Antropología del Trabajo y los Trabajadores,TRAB,,,
17024,CONFIGURACIONES SOCIOAMBIENTALES Y TERRITORIALES EN EL ESPACIO URBANO Y RURAL,Conf. Soc. y Terr.,SOCTER,"Procesos culturales, ideología y poder",,,,,,,,
17025,RELACIONES DE GÉNERO Y ORGANIZACIÓN SOCIAL DE LOS CUIDADOS,Rel. de Género y Cuidados,RGEN,"Procesos culturales, ideología y poder",,,,,,,,
17026,ANTROPOLOGÍA DEL ESTADO Y LAS POLÍTICAS PÚBLICAS,A. del Estado y Pol. Pub.,AEST,"Procesos políticos, instituciones y prácticas",,,O7019,Antropología Jurídica,AJUR,,,
17027,SUJETOS SOCIALES Y POLÍTICOS EN PERSPECTIVA ANTROPOLÓGICA,Suj. Soc. y Pol.,SUJ,"Procesos políticos, instituciones y prácticas",,,,,,,,
17028,ABORDAJES ANTROPOLÓGICOS DE LA SALUD Y LAS BIOCIENCIAS,Salud y Biociencias,SALUD,"Procesos políticos, instituciones y prácticas",,,,,,,,
17029,ANTROPOLOGÍA Y EDUCACIÓN,Antrop. y Educación,AYE,"Procesos políticos, instituciones y prácticas",,,O7018,Antropología y Educación,AYE,,,
17030,DINÁMICAS CONTEMPORÁNEAS DEL CAMPO DE LA CULTURA,D. Cont. en el C. de la Cult.,CULT,"Procesos socioeconómicos: producción, reproducción y transformación social",,,,,,,,
17031,"DISCURSO, IMAGEN Y ALTERIDAD",Disc. Im. y Alteridad,DIA,"Procesos socioeconómicos: producción, reproducción y transformación social",,,,,,,,
