Cod85,Cod23,Nom23,Nom23_corto,Nom23_siglas,Ciclo23SOC,Ciclo23ARQ,Ciclo23prof,Ciclo85SOC,Ciclo85ARQ,Ciclo85Prof
0743,17001,EPISTEMOLOGÍA DE LAS CIENCIAS SOCIALES,Epistemo,EPIS,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Orientación Sociocultural,,
0733,17002,HISTORIA Y TEORÍA DE LA ANTROPOLOGÍA I,Historia y Teoría 1,HTA1,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Común,Ciclo Común,Ciclo Común
0742,17003,HISTORIA Y TEORÍA DE LA ANTROPOLOGÍA II,Historia y Teoría 2,HTA2,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Orientación Sociocultural,,
0730,17004,PROBLEMAS DE ANTROPOLOGÍA SOCIAL Y POLÍTICA,P. A. Soc. y Pol.,PASYP,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Común,Ciclo Común,Ciclo Común
0736,17005,PROBLEMAS DE ANTROPOLOGÍA ECONÓMICA,P. A. Económica,PAE,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Común,Ciclo Común,Ciclo Común
0739,17006,PROBLEMAS DE ANTROPOLOGÍA SIMBÓLICA,P. Antrop. Simbólica,PASIM,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Común,Ciclo Común,Ciclo Común
0738,17007,ANTROPOLOGÍA BIOLÓGICA,Antrop. Biológica,ABIO,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Común,Ciclo Común,Ciclo Común
0732,17008,INTRODUCCIÓN A LA ARQUEOLOGÍA,Intro. Arqueo.,IARQ,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Común,Ciclo Común,Ciclo Común
,17009,"ARQUEOLOGÍA, LEGISLACIÓN Y COMUNIDAD",Arqueo. Leg. y Com.,ALC,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo de Formación General (CFG) Licenciatura Sociocultural,,,
0741,17010,"SOCIEDADES, CULTURAS Y ESTADOS EN AMÉRICA PREHISPÁNICA Y COLONIAL",S. C. y E. en Am. Prehisp.,SCEAP,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Orientación Sociocultural,,
0735,17011,PUEBLOS INDÍGENAS AMERICANOS,P. Ind. Americanos,PIA,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Común,Ciclo Común,Ciclo Común
0740,17012,"PROCESOS CULTURALES, FOLKLORE Y PRÁCTICAS SUBALTERNAS",Proc. Cult. Folkore y P. Sub.,PCFPS,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Común,Ciclo Común,Ciclo Común
0734,17013,ANTROPOLOGÍA LINGÜÍSTICA,Antrop. Lingüística,ALING,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Común,Ciclo Común,Ciclo Común
0745,17014,TEORÍA SOCIAL,Teoría Social,TSOC,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Orientación Sociocultural,,
0757,17015,TEORÍAS DE LA SUBJETIVIDAD,T. de la Subjetividad,TSUBJ,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Ciclo de Formación General (CFG) Licenciatura Sociocultural,Ciclo Orientación Sociocultural,,
0744,17016,METODOLOGÍA E INVESTIGACIÓN ANTROPOLÓGICA,Met. e Inv. Antrop.,MIA,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,Ciclo Orientación Sociocultural,,
0737,17017,ENFOQUE CUANTITATIVO DE INVESTIGACIÓN EN ANTROPOLOGÍA SOCIOCULTURAL,Enf. Cuantitativo,CUANT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,Ciclo Común,,Ciclo Común
,17018,EJERCICIO PROFESIONAL DE LA ANTROPOLOGÍA SOCIOCULTURAL,Ej. Profesional Socio.,EPAS,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17019,"CONQUISTAS, RESISTENCIAS Y MEMORIAS INDÍGENAS",Conq. Res. y Mem. Ind.,CRMI,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17020,PUEBLOS INDÍGENAS Y ESTADOS,P. Ind. y Estados,PIE,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17021,ANTROPOLOGÍAS LATINOAMERICANAS,A. Latinoamericanas,ALAT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17022,AMÉRICA EN CONTEXTO,Am. en Contexto,AEC,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,Ciclo de Formación General (CFG) Profesorado,,,
,17023,"CAPITALISMO ACTUAL, TRABAJO Y TRABAJADORES",Cap. Trab. y Trabajadores,CATT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17024,CONFIGURACIONES SOCIOAMBIENTALES Y TERRITORIALES EN EL ESPACIO URBANO Y RURAL,Conf. Soc. y Terr.,SOCTER,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17025,RELACIONES DE GÉNERO Y ORGANIZACIÓN SOCIAL DE LOS CUIDADOS,Rel. de Género y Cuidados,RGEN,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17026,ANTROPOLOGÍA DEL ESTADO Y LAS POLÍTICAS PÚBLICAS,A. del Estado y Pol. Pub.,AEST,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17027,SUJETOS SOCIALES Y POLÍTICOS EN PERSPECTIVA ANTROPOLÓGICA,Suj. Soc. y Pol.,SUJ,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17028,ABORDAJES ANTROPOLÓGICOS DE LA SALUD Y LAS BIOCIENCIAS,Salud y Biociencias,SALUD,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17029,ANTROPOLOGÍA Y EDUCACIÓN,Antrop. y Educación,AYE,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17030,DINÁMICAS CONTEMPORÁNEAS DEL CAMPO DE LA CULTURA,D. Cont. en el C. de la Cult.,CULT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17031,"DISCURSO, IMAGEN Y ALTERIDAD",Disc. Im. y Alteridad,DIA,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
,17032,"RELIGIONES, MITOS Y RITUALES EN LA MODERNIDAD",Relig. Mitos y Rituales,RIT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,,,
0746,17033,SEMINARIO DE INVESTIGACIÓN EN ANTROPOLOGÍA SOCIOCULTURAL,Sem. Inv. Antrop. Socio.,SIASOC,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,Ciclo Orientación Sociocultural,,
0750,17034,"ARQUEOLOGÍA DE ÁFRICA, EURASIA Y OCEANÍA",Arqueo. de Af. Eura. y Oc.,ARQAEO,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Ciclo de Formación General (CFG) Licenciatura Sociocultural,,Ciclo Orientación Arqueología,
0751,17035,ARQUEOLOGÍA AMERICANA Y ARGENTINA I,Arqueo. Am y Arg. I,ARQAM1,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Ciclo de Formación General (CFG) Licenciatura Sociocultural,,Ciclo Orientación Arqueología,
0712,17036,ARQUEOLOGÍA AMERICANA Y ARGENTINA II,Arqueo. Am y Arg. II,ARQAM2,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Ciclo de Formación General (CFG) Licenciatura Sociocultural,,Ciclo Orientación Arqueología,
0754,17037,ARQUEOLOGÍA ARGENTINA,Arqueo. Argentina,ARQARG,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Ciclo de Formación General (CFG) Licenciatura Sociocultural,,Ciclo Orientación Arqueología,
0722,17038,MATERIALES ARQUEOLÓGICOS Y SUS TECNOLOGÍAS,Mat. Arqueo. y sus Tec.,MAT,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Ciclo de Formación General (CFG) Licenciatura Sociocultural,,Ciclo Orientación Arqueología,
0752,17039,GEOLOGÍA PARA ARQUEÓLOGOS,Geo. para Arqueo.,GPA,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Ciclo de Formación General (CFG) Licenciatura Sociocultural,,Ciclo Orientación Arqueología,
0748,17040,TEORÍAS ARQUEOLÓGICAS CONTEMPORÁNEAS,T. Arqueo. Contemp.,TARQC,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Ciclo Orientación Arqueología,
0753,17041,MODELOS Y MÉTODOS DE ANÁLISIS EN ARQUEOLOGÍA,Mod. y Met. Arqueo.,MYM,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Ciclo Orientación Arqueología,
0721,17042,METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN ARQUEOLÓGICA,Met. Arqueo.,MTARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Ciclo de Formación General (CFG) Licenciatura Sociocultural,,Ciclo Orientación Arqueología,
