Cod85,Cod23,Nom23,Nom23_corto,Nom23_siglas,Ciclo23,Electividad23,Area23,Correlatividad23
0743,17001,EPISTEMOLOGÍA DE LAS CIENCIAS SOCIALES,Epistemo,EPIS,Ciclo de Formación General (CFG) Profesorado,,,
0733,17002,HISTORIA Y TEORÍA DE LA ANTROPOLOGÍA I,Historia y Teoría 1,HTA1,Ciclo de Formación General (CFG) Profesorado,,,
0742,17003,HISTORIA Y TEORÍA DE LA ANTROPOLOGÍA II,Historia y Teoría 2,HTA2,Ciclo de Formación General (CFG) Profesorado,,,
0730,17004,PROBLEMAS DE ANTROPOLOGÍA SOCIAL Y POLÍTICA,P. A. Soc. y Pol.,PASYP,Ciclo de Formación General (CFG) Profesorado,,,
0736,17005,PROBLEMAS DE ANTROPOLOGÍA ECONÓMICA,P. A. Económica,PAE,Ciclo de Formación General (CFG) Profesorado,,,
0739,17006,PROBLEMAS DE ANTROPOLOGÍA SIMBÓLICA,P. Antrop. Simbólica,PASIM,Ciclo de Formación General (CFG) Profesorado,,,
0738,17007,ANTROPOLOGÍA BIOLÓGICA,Antrop. Biológica,ABIO,Ciclo de Formación General (CFG) Profesorado,,,
0732,17008,INTRODUCCIÓN A LA ARQUEOLOGÍA,Intro. Arqueo.,IARQ,Ciclo de Formación General (CFG) Profesorado,,,
,17009,"ARQUEOLOGÍA, LEGISLACIÓN Y COMUNIDAD",Arqueo. Leg. y Com.,ALC,Ciclo de Formación General (CFG) Profesorado,,,
,,1 Seminario de Prácticas Socioeducativas Territorializadas (PST),,,Ciclo de Formación General (CFG) Profesorado,Variable,,
,17022,AMÉRICA EN CONTEXTO,Am. en Contexto,AEC,Ciclo de Formación General (CFG) Profesorado,,,Al menos 5 materias del CFG
,17049,METODOLOGÍA DE LA INVESTIGACIÓN ANTROPOLÓGICA EN EDUCACIÓN,Met. Antrop. Educación,METED,Ciclo de Formación General (CFG) Profesorado,,,Al menos 5 materias del CFG
0741,17010,"SOCIEDADES, CULTURAS Y ESTADOS EN AMÉRICA PREHISPÁNICA Y COLONIAL",S. C. y E. en Am. Prehisp.,SCEAP,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Sociocultural,Al menos 5 materias del CFG
0734,17013,ANTROPOLOGÍA LINGÜÍSTICA,Antrop. Lingüística,ALING,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Sociocultural,Al menos 5 materias del CFG
0740,17012,"PROCESOS CULTURALES, FOLKLORE Y PRÁCTICAS SUBALTERNAS",Proc. Cult. Folkore y P. Sub.,PCFPS,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Sociocultural,Al menos 5 materias del CFG
0745,17014,TEORÍA SOCIAL,Teoría Social,TSOC,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Sociocultural,Al menos 5 materias del CFG
"0757, 0758",17015,TEORÍAS DE LA SUBJETIVIDAD,T. de la Subjetividad,TSUBJ,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Sociocultural,Al menos 5 materias del CFG
0735,17011,PUEBLOS INDÍGENAS AMERICANOS,P. Ind. Americanos,PIA,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Sociocultural,Al menos 5 materias del CFG
0751,17035,ARQUEOLOGÍA AMERICANA Y ARGENTINA I,Arqueo. Am y Arg. I,ARQAM1,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Arqueología,Al menos 5 materias del CFG
0712,17036,ARQUEOLOGÍA AMERICANA Y ARGENTINA II,Arqueo. Am y Arg. II,ARQAM2,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Arqueología,Al menos 5 materias del CFG
0754,17037,ARQUEOLOGÍA ARGENTINA,Arqueo. Argentina,ARQARG,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Arqueología,Al menos 5 materias del CFG
0750,17034,"ARQUEOLOGÍA DE ÁFRICA, EURASIA Y OCEANÍA",Arqueo. de Af. Eura. y Oc.,ARQAEO,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Arqueología,Al menos 5 materias del CFG
0721,17042,METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN ARQUEOLÓGICA,Met. Arqueo.,MTARQ,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Arqueología,Al menos 5 materias del CFG
0722,17038,MATERIALES ARQUEOLÓGICOS Y SUS TECNOLOGÍAS,Mat. Arqueo. y sus Tec.,MAT,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Arqueología,Al menos 5 materias del CFG
0752,17039,GEOLOGÍA PARA ARQUEÓLOGOS,Geo. para Arqueo.,GPA,Ciclo de Formación General (CFG) Profesorado,"Elección A, 5 materias",Licenciatura Arqueología,Al menos 5 materias del CFG
,17029,ANTROPOLOGÍA Y EDUCACIÓN,Antrop. y Educación,AYE,Ciclo de Formación General (CFG) Profesorado,,,Al menos 10 materias del CFG
,17050,ANTROPOLOGÍA Y CONOCIMIENTO,Antrop. y Conocimiento,AYC,Ciclo de Formación General (CFG) Profesorado,,,Al menos 10 materias del CFG
,,Seminario de Educación Sexual Integral,Sem. ESI,ESI,Ciclo de Formación Específica (CFE) Profesorado,,,Al menos 10 materias del CFG
,,Didáctica General,Did. General,DIGEN,Ciclo de Formación Específica (CFE) Profesorado,,,Al menos 10 materias del CFG
7127,17051,DIDÁCTICA ESPECIAL Y PRÁCTICAS DE LA ENSEÑANZA,Did. Esp. y Pract. de Ens.,DIDES,Ciclo de Formación Específica (CFE) Profesorado,,,Al menos 10 materias del CFG
,17052,EXPERIENCIAS SOCIOEDUCATIVAS SITUADAS,Exp. Socioed. Stiuadas,ESS,Ciclo de Formación Específica (CFE) Profesorado,,,Al menos 10 materias del CFG
,,Historia Social General de la Educación,,,Ciclo de Formación Específica (CFE) Profesorado,Elección B,Departamento de Ciencias de la Educación,Al menos 10 materias del CFG
