Cod85,Cod23,Nom85,Nom85_corto,Nom85_siglas,Ciclo85,Electividad85,Area85,Correlatividad85
0730,17004,ANTROPOLOGÍA SISTEMÁTICA I (ORGANIZACIÓN SOCIAL Y POLÍTICA),,SIST1,Ciclo Común,,,
,,Historia Social General,,HSG,Ciclo Común,,Departamento de Historia,
0732,17008,FUNDAMENTOS DE PREHISTORIA,,FUND,Ciclo Común,,,
0733,17002,HISTORIA DE LA TEORÍA ANTROPOLÓGICA,,HTA,Ciclo Común,,,
0734,17013,ELEMENTOS DE LINGÜÍSTICA Y SEMIÓTICA,,LING,Ciclo Común,,,
0735,17011,"SISTEMAS SOCIOCULTURALES DE AMÉRICA I (CAZADORES, RECOLECTORES, AGRICULTORES INCIPIENTES)",,SOCIO1,Ciclo Común,,,
0736,17005,ANTROPOLOGÍA SISTEMÁTICA II (ANTROPOLOGÍA ECONÓMICA),,SIST2,Ciclo Común,,,
0737,17017,MÉTODOS CUANTITATIVOS EN ANTROPOLOGÍA,,CUANTSOC,Ciclo Común,,,
0738,17007,ANTROPOLOGÍA BIOLÓGICA Y PALEOANTROPOLOGÍA,,BIO,Ciclo Común,,,
0739,17006,ANTROPOLOGÍA SISTEMÁTICA III (SISTEMAS SIMBÓLICOS),,SIST3,Ciclo Común,,,
0740,17012,FOLKLORE GENERAL,,FOLK,Ciclo Común,,,
0748,17040,TEORÍA ARQUEOLÓGICA CONTEMPORÁNEA,,TACARQ,Ciclo Orientación Arqueología,,,
0721,17042,METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN ARQUEOLÓGICA,,METARQ,Ciclo Orientación Arqueología,,,
0750,17034,PREHISTORIA DEL VIEJO MUNDO,,PVM,Ciclo Orientación Arqueología,,,
0751,17035,PREHISTORIA AMERICANA Y ARGENTINA I (CULTURAS DE CAZADORES - RECOLECTORES),,PAA1,Ciclo Orientación Arqueología,,,
0752,17039,GEOLOGÍA GENERAL Y GEOMORFOLOGÍA  DEL CUARTARIO,,GEO,Ciclo Orientación Arqueología,,,
0712,17036,PREHISTORIA AMERICANA Y ARGENTINA II (CULTURAS AGRO-ALFARERAS),,PAA2,Ciclo Orientación Arqueología,,,
0753,17041,MODELOS Y MÉTODOS DE ANÁLISIS EN ECONOMÍA PREHISTÓRICA,,MODMET,Ciclo Orientación Arqueología,,,
0722,17038,ERGOLOGÍA Y TECNOLOGÍA,,ERG,Ciclo Orientación Arqueología,,,
0754,17037,ARQUEOLOGÍA ARGENTINA,,ARQARG,Ciclo Orientación Arqueología,,,
,,"1 materia electiva de cualquier orientación, carrera o facultad de la UBA						",,,Ciclo Orientación Arqueología,,,
,,1 Seminario Regular de la orientación en Arqueología,,,Ciclo Orientación Arqueología,,,
,17050,Didáctica General,Did. General,DIGEN,Profesorado,,Departamento de Ciencias de la Educación,
7127,17051,DIDÁCTICA ESPECIAL Y PRÁCTICAS DE LA ENSEÑANZA,Did. Esp. y Pract. de Ens.,DIDES,Profesorado,,,
