Cod85,Cod23,Nom85,Nom85_corto,Nom85_siglas,Ciclo85,Electividad85,Area85,Correlatividad85
0730,17004,ANTROPOLOGÍA SISTEMÁTICA I (ORGANIZACIÓN SOCIAL Y POLÍTICA),,SIST1,Ciclo Común,,,
,,Historia Social General,,HSG,Ciclo Común,,Departamento de Historia,
0732,17008,FUNDAMENTOS DE PREHISTORIA,,FUND,Ciclo Común,,,
0733,17002,HISTORIA DE LA TEORÍA ANTROPOLÓGICA,,HTA,Ciclo Común,,,
0734,17013,ELEMENTOS DE LINGÜÍSTICA Y SEMIÓTICA,,LING,Ciclo Común,,,
0735,17011,"SISTEMAS SOCIOCULTURALES DE AMÉRICA I (CAZADORES, RECOLECTORES, AGRICULTORES INCIPIENTES)",,SOCIO1,Ciclo Común,,,
0736,17005,ANTROPOLOGÍA SISTEMÁTICA II (ANTROPOLOGÍA ECONÓMICA),,SIST2,Ciclo Común,,,
0737,17017,MÉTODOS CUANTITATIVOS EN ANTROPOLOGÍA,,CUANTSOC,Ciclo Común,,,
0738,17007,ANTROPOLOGÍA BIOLÓGICA Y PALEOANTROPOLOGÍA,,BIO,Ciclo Común,,,
0739,17006,ANTROPOLOGÍA SISTEMÁTICA III (SISTEMAS SIMBÓLICOS),,SIST3,Ciclo Común,,,
0740,17012,FOLKLORE GENERAL,,FOLK,Ciclo Común,,,
0741,17010,SISTEMAS SOCIOCULTURALES DE AMÉRICA II (AGRICULTORES MEDIOS Y SOCIEDADES ESTATALES),,SOCIO2,Ciclo Orientación Sociocultural,,,
0742,17003,TEORÍAS ANTROPOLÓGICAS CONTEMPORÁNEAS,,TAC,Ciclo Orientación Sociocultural,,,
0743,17001,EPISTEMOLOGÍA Y MÉTODOS DE INVESTIGACIÓN SOCIAL,,EPIST,Ciclo Orientación Sociocultural,,,
0744,17016,METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN DE CAMPO,,METSOC,Ciclo Orientación Sociocultural,,,
0757,17015,PSICOLOGÍA GENERAL,,PSIGEN,Ciclo Orientación Sociocultural,Elección A,,
0758,17015,PSICOLOGÍA EVOLUTIVA,,PSIEV,Ciclo Orientación Sociocultural,Elección A,Departamento de Ciencias de la Educación,
0745,17014,TEORÍA SOCIOLÓGICA,,TSOC,Ciclo Orientación Sociocultural,Elección B,,
,,Sociología de la Educación,,SOCED,Ciclo Orientación Sociocultural,Elección B,Departamento de Ciencias de la Educación,
,,"1 materia electiva de cualquier orientación, carrera o facultad de la UBA",,,Ciclo Orientación Sociocultural,,,
,,"1 materia electiva de cualquier orientación, carrera o facultad de la UBA",,,Ciclo Orientación Sociocultural,,,
,,1 Seminario Regular de la orientación Sociocultural,,,Ciclo Orientación Sociocultural,,,
,,1 Seminario Regular de la orientación Sociocultural,,,Ciclo Orientación Sociocultural,,,
,,1 Seminario Regular de la orientación Sociocultural,,,Ciclo Orientación Sociocultural,,,
,17050,Didáctica General,Did. General,DIGEN,Profesorado,,Departamento de Ciencias de la Educación,
7127,17051,DIDÁCTICA ESPECIAL Y PRÁCTICAS DE LA ENSEÑANZA,Did. Esp. y Pract. de Ens.,DIDES,Profesorado,,,
